Customer_ID,Customer_Name,Region,Total_Policy_Amt
441,Professor Xander Johnson,All,49600000
321,Mrs. Henry Jackson,All,42400000
511,Dr. Samuel Tyson,All,40800000
541,Dr. Zachary Martin,All,39200000
153,Mr. Edward Dillon,All,39200000
634,Ms. Yvonne White,All,38000000
203,Mr. Quinn Garcia,All,37600000
177,Mrs. Liam Anderson,All,37600000
273,Dr. Yvonne Potter,All,36000000
191,Professor Nathan Smith,All,36000000
443,Professor Xander Wilson,All,34400000
297,Dr. Zachary Harris,All,34000000
406,Ms. Catherine Jackson,All,32800000
148,Mr. Charles White,All,32800000
627,Dr. Bonnie Kirby,All,32000000
540,Dr. Catherine Dillon,All,32000000
476,Dr. Karen Brown,All,32000000
580,Ms. Edward Davis,All,31200000
691,Mr. Olivia Johnson,All,31200000
470,Dr. Catherine White,All,30400000
461,Professor Fiona Johnson,All,30400000
15,Professor Megan Jackson,All,30400000
694,Ms. Irene Jones,All,30000000
194,Mr. Xander Dillon,All,29600000
548,Professor Zachary Potter,All,29600000
241,Professor Diana Kirby,All,29200000
121,Ms. Olivia Dillon,All,28800000
683,Mr. Zachary White,All,28800000
331,Professor Irene Davis,All,28400000
359,Professor Ursula Potter,All,28400000
690,Mr. Megan Thompson,All,28400000
624,Professor Rachel Thompson,All,28000000
609,Dr. Rachel Thomas,All,28000000
147,Ms. Nathan Taylor,All,28000000
605,Mrs. Edward Martin,All,28000000
355,Mr. Patrick Jackson,All,28000000
229,Dr. Megan Thompson,All,28000000
672,Ms. Fiona Garcia,All,27200000
459,Mrs. Tina Tyson,All,27200000
62,Dr. Tina Thompson,All,27200000
698,Dr. Olivia Anderson,All,26400000
664,Dr. Charles Thompson,All,26400000
684,Ms. Samuel Taylor,All,26400000
287,Mr. Rachel Anderson,All,26400000
107,Professor Aaron Dillon,All,26400000
290,Mr. Victor Williams,All,26400000
46,Dr. Fiona Taylor,All,26000000
22,Ms. Victor Dillon,All,26000000
53,Ms. Victor Brown,All,26000000
426,Dr. James Wilson,All,26000000
343,Mr. Catherine Johnson,All,26000000
56,Mrs. Olivia Harris,All,26000000
581,Professor Charles Martin,All,26000000
270,Mrs. Henry Anderson,All,26000000
700,Dr. Diana Thomas,All,25600000
585,Mrs. Wendy Potter,All,25600000
369,Professor Irene Williams,All,25600000
210,Mrs. Catherine Anderson,All,25600000
58,Mrs. Zachary Miller,All,25600000
542,Mr. Patrick Davis,All,25600000
455,Mrs. Xander Jones,All,25600000
217,Professor Victor Tyson,All,25200000
534,Mrs. Fiona Wilson,All,25200000
232,Mrs. Tina Taylor,All,25200000
282,Dr. Karen Davis,All,24800000
374,Mrs. Gwendolyn Thompson,All,24800000
397,Mrs. Karen Tyson,All,24800000
199,Ms. Wendy Martin,All,24400000
613,Mrs. Diana Martin,All,24400000
445,Dr. Brian Brown,All,24400000
564,Ms. Brian Martin,All,24400000
170,Mr. Samuel Potter,All,24400000
183,Mr. Brian Wilson,All,24400000
592,Ms. Fiona Jones,All,24000000
625,Ms. Edward Wilson,All,24000000
559,Mrs. Charles Jackson,All,24000000
558,Dr. Yvonne Taylor,All,24000000
272,Ms. Zachary Thompson,All,24000000
37,Mr. Edward Thomas,All,24000000
78,Ms. Quinn Dillon,All,24000000
600,Professor Xander Potter,All,24000000
254,Dr. Bonnie Brown,All,23600000
251,Dr. Tina Dillon,All,23600000
554,Ms. Charles Potter,All,23600000
92,Professor Edward Jones,All,23600000
99,Ms. Diana Harris,All,23200000
628,Mrs. Brian Brown,All,23200000
63,Ms. Irene Davis,All,23200000
200,Mrs. Nathan Tyson,All,23200000
434,Dr. Irene Dillon,All,23200000
300,Ms. James Harris,All,23200000
465,Mr. Brian Johnson,All,22800000
545,Dr. Tina Wilson,All,22800000
449,Professor Gwendolyn Garcia,All,22800000
238,Professor Victor Martin,All,22400000
363,Professor Patrick Thomas,All,22400000
653,Dr. Quinn Tyson,All,22400000
118,Ms. Olivia Garcia,All,22400000
588,Dr. Rachel Smith,All,22400000
417,Dr. Rachel Johnson,All,22400000
42,Professor Xander Harris,All,22400000
237,Dr. Quinn Tyson,All,22400000
341,Dr. Zachary Potter,All,22400000
268,Mr. Olivia Tyson,All,22400000
392,Professor Zachary Martin,All,22400000
83,Mr. Quinn Miller,All,22400000
538,Professor Gwendolyn Thompson,All,22000000
59,Professor Nathan Dillon,All,22000000
95,Professor Henry Garcia,All,22000000
661,Dr. Allison Dillon,All,22000000
637,Mrs. Xander Johnson,All,21600000
160,Ms. Quinn Potter,All,21600000
108,Mr. Charles Davis,All,21600000
496,Mrs. Karen Harris,All,21600000
364,Mr. Xander Brown,All,21600000
553,Ms. Yvonne Jackson,All,21600000
216,Ms. Edward Dillon,All,21200000
296,Mrs. Diana White,All,21200000
532,Dr. Patrick Martin,All,21200000
520,Mr. Irene Dillon,All,21200000
563,Mr. Yvonne Brown,All,21200000
521,Ms. Bonnie Potter,All,21200000
568,Mrs. Rachel Wilson,All,21200000
602,Professor Zachary Wilson,All,21200000
604,Ms. Victor Tyson,All,20800000
431,Mr. Quinn Jackson,All,20800000
102,Mr. Ursula Martin,All,20800000
180,Mrs. Nathan Thomas,All,20800000
