Customer_ID,Customer_Name,Region,Policy_Type,Total_Policy_Amt
441,Professor Xander Johnson,All,Auto,49600000
511,Dr. Samuel Tyson,All,Auto,40800000
191,Professor Nathan Smith,All,Auto,36000000
297,Dr. Zachary Harris,All,Auto,34000000
148,Mr. Charles White,All,Auto,32800000
540,Dr. Catherine Dillon,All,Auto,32000000
476,Dr. Karen Brown,All,Auto,32000000
15,Professor Megan Jackson,All,Auto,30400000
470,Dr. Catherine White,All,Auto,30400000
461,Professor Fiona Johnson,All,Auto,30400000
194,Mr. Xander Dillon,All,Auto,29600000
241,Professor Diana Kirby,All,Auto,29200000
331,Professor Irene Davis,All,Auto,28400000
359,Professor Ursula Potter,All,Auto,28400000
355,Mr. Patrick Jackson,All,Auto,28000000
229,Dr. Megan Thompson,All,Auto,28000000
147,Ms. Nathan Taylor,All,Auto,28000000
459,Mrs. Tina Tyson,All,Auto,27200000
290,Mr. Victor Williams,All,Auto,26400000
270,Mrs. Henry Anderson,All,Auto,26000000
56,Mrs. Olivia Harris,All,Auto,26000000
581,Professor Charles Martin,All,Auto,26000000
426,Dr. James Wilson,All,Auto,26000000
455,Mrs. Xander Jones,All,Auto,25600000
542,Mr. Patrick Davis,All,Auto,25600000
217,Professor Victor Tyson,All,Auto,25200000
374,Mrs. Gwendolyn Thompson,All,Auto,24800000
397,Mrs. Karen Tyson,All,Auto,24800000
199,Ms. Wendy Martin,All,Auto,24400000
564,Ms. Brian Martin,All,Auto,24400000
37,Mr. Edward Thomas,All,Auto,24000000
558,Dr. Yvonne Taylor,All,Auto,24000000
559,Mrs. Charles Jackson,All,Auto,24000000
272,Ms. Zachary Thompson,All,Auto,24000000
251,Dr. Tina Dillon,All,Auto,23600000
92,Professor Edward Jones,All,Auto,23600000
99,Ms. Diana Harris,All,Auto,23200000
300,Ms. James Harris,All,Auto,23200000
545,Dr. Tina Wilson,All,Auto,22800000
465,Mr. Brian Johnson,All,Auto,22800000
417,Dr. Rachel Johnson,All,Auto,22400000
588,Dr. Rachel Smith,All,Auto,22400000
268,Mr. Olivia Tyson,All,Auto,22400000
42,Professor Xander Harris,All,Auto,22400000
341,Dr. Zachary Potter,All,Auto,22400000
238,Professor Victor Martin,All,Auto,22400000
83,Mr. Quinn Miller,All,Auto,22400000
95,Professor Henry Garcia,All,Auto,22000000
364,Mr. Xander Brown,All,Auto,21600000
496,Mrs. Karen Harris,All,Auto,21600000
160,Ms. Quinn Potter,All,Auto,21600000
563,Mr. Yvonne Brown,All,Auto,21200000
296,Mrs. Diana White,All,Auto,21200000
216,Ms. Edward Dillon,All,Auto,21200000
568,Mrs. Rachel Wilson,All,Auto,21200000
520,Mr. Irene Dillon,All,Auto,21200000
180,Mrs. Nathan Thomas,All,Auto,20800000
431,Mr. Quinn Jackson,All,Auto,20800000
396,Mr. Patrick Johnson,All,Auto,20400000
202,Ms. Olivia Johnson,All,Auto,20400000
586,Mrs. Patrick Potter,All,Auto,20400000
589,Professor Zachary Smith,All,Auto,20000000
201,Ms. Victor Anderson,All,Auto,20000000
60,Mr. Edward Dillon,All,Auto,20000000
120,Professor Fiona Williams,All,Auto,20000000
131,Dr. Diana Davis,All,Auto,20000000
30,Mr. Gwendolyn Jackson,All,Auto,19600000
450,Dr. Megan White,All,Auto,19200000
208,Dr. Tina Anderson,All,Auto,19200000
311,Mr. Olivia Anderson,All,Auto,19200000
105,Mrs. Nathan Johnson,All,Auto,19200000
495,Ms. Bonnie White,All,Auto,19200000
408,Dr. Karen Garcia,All,Auto,18800000
439,Ms. Irene Dillon,All,Auto,18800000
43,Ms. Rachel Johnson,All,Auto,18400000
161,Professor Charles Taylor,All,Auto,18400000
100,Ms. Catherine White,All,Auto,18400000
427,Professor Irene White,All,Auto,18000000
24,Mr. Henry Williams,All,Auto,18000000
57,Professor Quinn Dillon,All,Auto,17600000
501,Dr. Zachary Brown,All,Auto,17600000
524,Professor Fiona Garcia,All,Auto,17200000
373,Mr. Rachel Thomas,All,Auto,17200000
