Customer_ID,Customer_Name,Region,Policy_Term,Policy_Start_Dt,Total_Policy_Amt
334,Mrs. Olivia Brown,East and West,Quarterly,10/16/2012,3200000
3,Mister. Bonnie Potter,East and West,Quarterly,01/02/2012,3200000
398,Mrs. Edward Kirby,East and West,Quarterly,10/11/2012,2400000
493,Mrs. Aaron Wilson,East and West,Quarterly,07/22/2012,2400000
186,Ms. Megan Williams,East and West,Quarterly,08/16/2012,2000000
554,Ms. Charles Potter,East and West,Quarterly,07/30/2012,2000000
568,Mrs. Rachel Wilson,East and West,Quarterly,04/29/2012,1200000
16,Ms. Victor Potter,East and West,Quarterly,12/01/2012,1200000
89,Mr. Irene Johnson,East and West,Quarterly,12/16/2012,1200000
121,Ms. Olivia Dillon,East and West,Quarterly,04/30/2012,800000
