Customer_ID,Customer_Title,Customer_First_Name,Customer_Last_Name,Customer_Segment,Marital_Status,Gender,DOB,Effective_Start_Dt,Effective_End_Dt,Region
751,Mr.,Gwendolyn,Garcia,Consumer,Widowed,Female,1990-12-06,2024-02-20,,WEST
752,Mr.,Diana,Tyson,SME,Single,Male,1975-01-21,2024-02-20,,WEST
753,Dr.,Diana,Jones,Consumer,Single,Male,1997-09-13,2024-02-20,,SOUTH
754,Dr.,Edward,Taylor,SME,Widowed,Male,1978-11-18,2024-02-20,,EAST
755,Mr.,James,Kirby,Consumer,Widowed,Female,1985-02-17,2024-02-20,,WEST
756,Professor,Aaron,Garcia,Corporate,Divorced,Male,1976-09-17,2024-02-20,,WEST
757,Mrs.,Diana,Williams,Corporate,Single,Female,1998-01-19,2024-02-20,,NORTH
758,Ms.,Brian,Smith,SME,Divorced,Male,1976-09-25,2024-02-20,,WEST
759,Dr.,Edward,Smith,SME,Married,Female,1985-09-12,2024-02-20,,NORTH
760,Mr.,Zachary,Dillon,Consumer,Married,Female,1975-10-02,2024-02-20,,SOUTH
761,Mr.,Yvonne,Brown,Consumer,Widowed,Male,1976-05-13,2024-02-20,,SOUTH
762,Mrs.,Nathan,Thomas,SME,Divorced,Female,1987-05-18,2024-02-20,,NORTH
763,Mrs.,Gwendolyn,Smith,Corporate,Single,Male,1971-02-25,2024-02-20,,NORTH
764,Dr.,Bonnie,White,Consumer,Divorced,Male,1991-07-03,2024-02-20,,WEST
765,Professor,Patrick,Wilson,Consumer,Married,Male,1989-11-16,2024-02-20,,WEST
766,Dr.,Nathan,Kirby,Consumer,Widowed,Male,1975-10-31,2024-02-20,,EAST
767,Ms.,Quinn,Dillon,Consumer,Divorced,Female,1981-09-17,2024-02-20,,WEST
768,Mr.,Henry,Anderson,Consumer,Married,Male,1975-08-05,2024-02-20,,WEST
769,Professor,Liam,Jackson,Corporate,Widowed,Female,1988-12-25,2024-02-20,,EAST
770,Professor,Charles,Thomas,Corporate,Divorced,Female,1982-10-15,2024-02-20,,NORTH
771,Mrs.,Henry,Wilson,Corporate,Single,Male,1981-04-07,2024-02-20,,SOUTH
772,Dr.,Aaron,Brown,Consumer,Single,Male,1993-01-24,2024-02-20,,SOUTH
773,Mr.,Gwendolyn,Smith,SME,Widowed,Male,1974-07-03,2024-02-20,,EAST
774,Dr.,Irene,Williams,Corporate,Married,Female,1993-02-27,2024-02-20,,SOUTH
775,Professor,Aaron,Thompson,Consumer,Divorced,Female,1974-10-26,2024-02-20,,EAST
776,Professor,Aaron,Brown,Corporate,Single,Female,1973-10-15,2024-02-20,,WEST
777,Professor,Bonnie,White,Corporate,Single,Male,1972-06-01,2024-02-20,,WEST
778,Mrs.,Karen,Williams,Consumer,Divorced,Female,1993-10-21,2024-02-20,,SOUTH
779,Dr.,James,Miller,Corporate,Married,Male,1978-10-26,2024-02-20,,NORTH
780,Mr.,Samuel,White,Consumer,Divorced,Female,1990-01-16,2024-02-20,,EAST
781,Dr.,Tina,Wilson,Corporate,Single,Male,1975-05-29,2024-02-20,,SOUTH
782,Ms.,Gwendolyn,Miller,SME,Widowed,Male,1989-09-18,2024-02-20,,EAST
783,Dr.,Catherine,Jackson,Corporate,Married,Male,1985-11-05,2024-02-20,,NORTH
784,Professor,Henry,Jones,SME,Widowed,Male,1971-06-10,2024-02-20,,EAST
785,Ms.,Megan,White,Corporate,Single,Female,1984-10-26,2024-02-20,,EAST
786,Mr.,Zachary,Brown,Consumer,Widowed,Female,1999-11-25,2024-02-20,,EAST
787,Mr.,Irene,Johnson,Consumer,Divorced,Male,1994-05-25,2024-02-20,,SOUTH
788,Professor,Yvonne,Dillon,SME,Divorced,Male,1984-02-18,2024-02-20,,EAST
789,Mr.,Karen,Garcia,Consumer,Divorced,Male,1996-06-13,2024-02-20,,WEST
790,Professor,Allison,Martin,Corporate,Widowed,Male,1999-01-26,2024-02-20,,NORTH
791,Mrs.,Olivia,Kirby,Corporate,Single,Female,1987-02-23,2024-02-20,,EAST
792,Mr.,Nathan,Jackson,Consumer,Married,Male,1991-10-03,2024-02-20,,NORTH
793,Mr.,Patrick,Martin,SME,Divorced,Male,1980-06-19,2024-02-20,,NORTH
794,Ms.,Nathan,Garcia,Consumer,Divorced,Male,1997-05-22,2024-02-20,,WEST
795,Mr.,Charles,Wilson,Consumer,Widowed,Male,1971-03-08,2024-02-20,,SOUTH
796,Dr.,Bonnie,Thompson,Corporate,Married,Male,1973-12-29,2024-02-20,,WEST
797,Mr.,Allison,Garcia,SME,Single,Female,1974-04-07,2024-02-20,,SOUTH
798,Mrs.,Liam,Tyson,SME,Widowed,Male,1975-01-09,2024-02-20,,EAST
799,Dr.,Aaron,Potter,SME,Divorced,Male,1973-03-02,2024-02-20,,EAST
800,Ms.,James,Potter,Consumer,Married,Male,1990-03-30,2024-02-20,,SOUTH
1354,Mr.,Aaron,Dillon,Consumer,Divorced,Male,1985-02-15,2024-04-13,2099-12-31,EAST
