Customer_SK,Customer_ID,Customer_Title,Customer_First_Name,Customer_Last_Name,Customer_Segment,Marital_Status,Gender,DOB,Effective_Start_Dt,Effective_End_Dt,Region,Customer_Name
1,1,Mrs.,Aaron,Wilson,SME,Single,Male,1970-01-10,2003-02-17,,EAST,Mrs. Aaron Wilson
2,2,Mr.,Bonnie,Smith,SME,Single,Male,1969-08-13,2005-03-20,,SOUTH,Mr. Bonnie Smith
3,3,Mister.,Bonnie,Potter,SME,Married,Female,1974-12-16,2000-02-23,,SOUTH,Mister. Bonnie Potter
4,4,Mrs.,Irene,Jones,Corporate,Single,Male,1980-03-13,2002-04-17,,NORTH,Mrs. Irene Jones
5,5,Professor,Brian,Thomas,SME,Widowed,Male,1973-09-24,2000-12-21,,NORTH,Professor Brian Thomas
6,6,Ms.,Charles,Potter,SME,Married,Male,1982-06-12,2012-12-12,,SOUTH,Ms. Charles Potter
7,7,Ms.,Victor,Davis,Corporate,Single,Female,1957-02-27,2005-03-22,,EAST,Ms. Victor Davis
8,8,Mrs.,Ursula,Thomas,SME,Married,Female,1983-03-19,2007-12-20,,SOUTH,Mrs. Ursula Thomas
9,9,Mrs.,Tina,Dillon,Corporate,Married,Female,1997-12-02,2005-06-28,,EAST,Mrs. Tina Dillon
10,10,Mrs.,Ursula,Potter,Consumer,Married,Female,1979-02-04,2001-04-03,,NORTH,Mrs. Ursula Potter
11,11,Mrs.,Irene,Williams,SME,Married,Female,2000-11-19,2007-01-21,,SOUTH,Mrs. Irene Williams
12,12,Dr.,Catherine,Dillon,Consumer,Married,Female,1962-10-26,2005-12-09,,SOUTH,Dr. Catherine Dillon
13,13,Dr.,Catherine,Kirby,SME,Married,Female,1982-06-23,2004-12-01,,SOUTH,Dr. Catherine Kirby
14,14,Mr.,Gwendolyn,Tyson,SME,Married,Female,1963-09-18,2014-01-27,,EAST,Mr. Gwendolyn Tyson
15,15,Professor,Megan,Jackson,SME,Divorced,Male,1991-12-29,2011-11-13,,EAST,Professor Megan Jackson
16,16,Ms.,Victor,Potter,Corporate,Divorced,Male,1980-07-08,2002-07-02,,EAST,Ms. Victor Potter
17,17,Professor,Aaron,Wilson,SME,Single,Female,1966-01-11,2011-05-21,,SOUTH,Professor Aaron Wilson
18,18,Mrs.,Edward,Thomas,SME,Single,Female,1998-05-23,2011-11-23,,WEST,Mrs. Edward Thomas
19,19,Ms.,Aaron,Brown,Consumer,Single,Male,1977-08-03,2005-05-15,,SOUTH,Ms. Aaron Brown
20,20,Mr.,Xander,Martin,SME,Married,Female,1997-10-16,2002-10-27,,EAST,Mr. Xander Martin
21,21,Professor,Irene,Thompson,SME,Married,Female,1987-12-18,2004-10-01,,WEST,Professor Irene Thompson
22,22,Ms.,Victor,Dillon,Consumer,Widowed,Male,1989-04-21,2011-08-10,,SOUTH,Ms. Victor Dillon
23,23,Mr.,Charles,Taylor,Consumer,Married,Male,1999-09-11,2005-02-28,,WEST,Mr. Charles Taylor
24,24,Mr.,Henry,Williams,Corporate,Married,Female,1979-08-24,2001-08-03,,EAST,Mr. Henry Williams
25,25,Professor,Rachel,Jones,Corporate,Widowed,Male,1992-05-28,2005-06-13,,WEST,Professor Rachel Jones
26,26,Ms.,Diana,White,SME,Widowed,Male,1988-01-01,2009-03-21,,EAST,Ms. Diana White
27,27,Ms.,Bonnie,Jackson,Consumer,Married,Female,1959-10-21,2005-07-29,,EAST,Ms. Bonnie Jackson
28,28,Ms.,Nathan,Garcia,Corporate,Single,Male,1991-07-04,2005-08-08,,WEST,Ms. Nathan Garcia
29,29,Mr.,Ursula,Potter,Corporate,Married,Female,1958-05-15,2005-04-20,,EAST,Mr. Ursula Potter
30,30,Mr.,Gwendolyn,Jackson,Corporate,Single,Female,1964-10-08,2008-07-01,,SOUTH,Mr. Gwendolyn Jackson
31,31,Professor,James,White,Corporate,Married,Male,1993-08-30,2003-06-22,,SOUTH,Professor James White
32,32,Mr.,Samuel,Potter,SME,Single,Female,1978-02-19,2001-04-13,,EAST,Mr. Samuel Potter
33,33,Mr.,Bonnie,Thompson,SME,Single,Male,1966-09-03,2001-07-15,,WEST,Mr. Bonnie Thompson
34,34,Mrs.,Diana,Kirby,Corporate,Single,Female,1953-07-26,2013-11-21,,SOUTH,Mrs. Diana Kirby
35,35,Mrs.,Gwendolyn,Taylor,SME,Married,Female,1973-10-30,2008-11-16,,NORTH,Mrs. Gwendolyn Taylor
36,36,Mr.,Karen,Williams,Consumer,Single,Male,1991-02-12,2013-12-06,,SOUTH,Mr. Karen Williams
37,37,Mr.,Edward,Thomas,Consumer,Divorced,Female,1971-12-01,2008-04-15,,NORTH,Mr. Edward Thomas
38,38,Professor,Tina,Dillon,SME,Divorced,Male,1950-09-14,2014-12-24,,NORTH,Professor Tina Dillon
39,39,Mr.,Irene,Brown,Corporate,Divorced,Male,1999-08-20,2003-06-27,,WEST,Mr. Irene Brown
40,40,Ms.,Gwendolyn,Dillon,Consumer,Divorced,Male,1995-05-06,2010-12-16,,NORTH,Ms. Gwendolyn Dillon
41,41,Mr.,Allison,Wilson,SME,Married,Female,1950-04-27,2007-06-25,,SOUTH,Mr. Allison Wilson
42,42,Professor,Xander,Harris,Consumer,Single,Male,1988-05-15,2012-07-30,,WEST,Professor Xander Harris
43,43,Ms.,Rachel,Johnson,Consumer,Widowed,Male,1999-07-28,2003-04-28,,WEST,Ms. Rachel Johnson
44,44,Ms.,Liam,Johnson,SME,Married,Male,1968-11-05,2015-04-19,,NORTH,Ms. Liam Johnson
45,45,Dr.,Yvonne,Potter,Consumer,Married,Female,1963-11-13,2005-04-23,,NORTH,Dr. Yvonne Potter
46,46,Dr.,Fiona,Taylor,SME,Married,Male,1972-04-06,2005-12-25,,EAST,Dr. Fiona Taylor
47,47,Dr.,Brian,Johnson,Corporate,Widowed,Female,1969-12-15,2004-06-22,,SOUTH,Dr. Brian Johnson
48,48,Mrs.,Henry,Smith,Consumer,Divorced,Female,1985-09-30,2007-05-13,,WEST,Mrs. Henry Smith
49,49,Dr.,Ursula,Thompson,Consumer,Single,Female,1998-02-08,2007-06-05,,NORTH,Dr. Ursula Thompson
50,50,Mr.,Samuel,Wilson,Corporate,Widowed,Female,1959-09-23,2013-05-19,,WEST,Mr. Samuel Wilson
51,51,Mr.,Tina,Thompson,Corporate,Married,Male,1984-07-23,2012-12-06,,SOUTH,Mr. Tina Thompson
52,52,Professor,Aaron,Thompson,Consumer,Widowed,Female,1967-09-05,2008-03-02,,SOUTH,Professor Aaron Thompson
53,53,Ms.,Victor,Brown,Corporate,Widowed,Female,1995-07-01,2006-12-08,,NORTH,Ms. Victor Brown
54,54,Mrs.,Rachel,Jones,SME,Widowed,Male,1987-09-21,2014-11-30,,NORTH,Mrs. Rachel Jones
55,55,Mr.,Megan,Potter,Corporate,Married,Female,1977-04-06,2006-06-08,,NORTH,Mr. Megan Potter
56,56,Mrs.,Olivia,Harris,SME,Married,Male,1995-11-11,2010-08-12,,SOUTH,Mrs. Olivia Harris
57,57,Professor,Quinn,Dillon,SME,Married,Female,1980-01-27,2002-02-04,,NORTH,Professor Quinn Dillon
58,58,Mrs.,Zachary,Miller,Corporate,Married,Male,1952-03-11,2001-01-13,,WEST,Mrs. Zachary Miller
59,59,Professor,Nathan,Dillon,Corporate,Widowed,Female,1967-06-12,2015-08-14,,SOUTH,Professor Nathan Dillon
60,60,Mr.,Edward,Dillon,Consumer,Married,Female,1959-07-25,2009-07-14,,WEST,Mr. Edward Dillon
61,61,Mr.,Rachel,Davis,SME,Widowed,Female,1990-12-14,2002-12-28,,EAST,Mr. Rachel Davis
62,62,Dr.,Tina,Thompson,SME,Married,Female,1999-02-25,2009-12-31,,SOUTH,Dr. Tina Thompson
63,63,Ms.,Irene,Davis,Corporate,Married,Female,1996-10-07,2010-11-13,,SOUTH,Ms. Irene Davis
64,64,Mrs.,Wendy,Anderson,SME,Divorced,Male,1974-05-18,2007-07-14,,EAST,Mrs. Wendy Anderson
65,65,Dr.,Edward,Davis,Consumer,Married,Female,1963-09-17,2015-11-04,,WEST,Dr. Edward Davis
66,66,Dr.,Karen,Potter,Corporate,Married,Female,1987-04-21,2001-05-25,,SOUTH,Dr. Karen Potter
67,67,Dr.,Brian,Kirby,Corporate,Divorced,Female,1992-10-16,2000-02-18,,EAST,Dr. Brian Kirby
68,68,Professor,Rachel,Potter,Corporate,Married,Female,1969-10-14,2010-12-13,,SOUTH,Professor Rachel Potter
69,69,Ms.,Aaron,Jackson,Consumer,Widowed,Male,1986-04-10,2003-09-14,,SOUTH,Ms. Aaron Jackson
70,70,Mr.,Samuel,Kirby,Consumer,Widowed,Female,1957-07-13,2014-06-01,,SOUTH,Mr. Samuel Kirby
71,71,Dr.,Bonnie,Wilson,Corporate,Widowed,Female,1979-05-15,2004-09-29,,WEST,Dr. Bonnie Wilson
72,72,Ms.,Irene,White,SME,Single,Male,1957-05-07,2010-07-19,,SOUTH,Ms. Irene White
73,73,Mr.,Henry,Dillon,Consumer,Married,Male,1953-08-12,2000-09-11,,NORTH,Mr. Henry Dillon
74,74,Dr.,Henry,Jones,Corporate,Married,Female,1960-04-06,2012-08-25,,WEST,Dr. Henry Jones
75,75,Professor,Fiona,Tyson,Consumer,Divorced,Male,1960-04-11,2003-09-03,,NORTH,Professor Fiona Tyson
76,76,Dr.,Samuel,Jackson,Consumer,Married,Female,1967-10-17,2001-09-14,,NORTH,Dr. Samuel Jackson
77,77,Mr.,Zachary,Kirby,SME,Widowed,Female,1981-02-24,2011-12-13,,EAST,Mr. Zachary Kirby
78,78,Ms.,Quinn,Dillon,Consumer,Widowed,Female,1951-02-19,2009-06-03,,EAST,Ms. Quinn Dillon
79,79,Mrs.,Ursula,Harris,SME,Divorced,Female,1989-01-26,2003-12-13,,NORTH,Mrs. Ursula Harris
80,80,Ms.,Nathan,Kirby,Corporate,Single,Female,1978-12-01,2005-07-04,,SOUTH,Ms. Nathan Kirby
81,81,Professor,Yvonne,Harris,Corporate,Single,Female,1984-01-01,2007-07-18,,WEST,Professor Yvonne Harris
82,82,Ms.,Patrick,Miller,SME,Divorced,Female,1973-03-06,2007-08-20,,WEST,Ms. Patrick Miller
83,83,Mr.,Quinn,Miller,SME,Widowed,Male,1971-08-27,2009-02-11,,EAST,Mr. Quinn Miller
84,84,Dr.,Ursula,Martin,Consumer,Divorced,Female,1951-07-20,2002-02-01,,SOUTH,Dr. Ursula Martin
85,85,Ms.,James,Kirby,Corporate,Divorced,Female,1992-06-16,2012-05-31,,WEST,Ms. James Kirby
86,86,Ms.,Wendy,Harris,Consumer,Married,Male,1977-07-05,2005-08-21,,NORTH,Ms. Wendy Harris
87,87,Mrs.,Diana,Potter,Corporate,Widowed,Female,1967-03-09,2004-11-07,,NORTH,Mrs. Diana Potter
88,88,Ms.,Allison,Miller,Corporate,Married,Male,1970-05-30,2008-02-04,,EAST,Ms. Allison Miller
89,89,Mr.,Irene,Johnson,SME,Married,Female,1999-08-24,2006-07-21,,WEST,Mr. Irene Johnson
90,90,Professor,Brian,Smith,Corporate,Widowed,Female,1975-07-06,2010-07-12,,EAST,Professor Brian Smith
91,91,Dr.,Bonnie,Wilson,Corporate,Widowed,Male,1960-03-27,2001-06-19,,WEST,Dr. Bonnie Wilson
92,92,Professor,Edward,Jones,Consumer,Married,Female,1977-04-05,2001-11-28,,EAST,Professor Edward Jones
93,93,Dr.,Yvonne,Thompson,SME,Divorced,Female,1990-06-02,2009-12-05,,WEST,Dr. Yvonne Thompson
94,94,Mr.,Samuel,Tyson,Corporate,Married,Male,1958-11-26,2004-08-29,,NORTH,Mr. Samuel Tyson
95,95,Professor,Henry,Garcia,Corporate,Single,Female,1956-09-25,2003-07-06,,WEST,Professor Henry Garcia
96,96,Mrs.,James,Johnson,SME,Divorced,Female,1975-11-06,2015-11-09,,SOUTH,Mrs. James Johnson
97,97,Ms.,Victor,Davis,SME,Single,Male,1967-10-01,2009-07-14,,EAST,Ms. Victor Davis
98,98,Mr.,Irene,Jones,SME,Divorced,Female,1955-05-09,2003-09-21,,WEST,Mr. Irene Jones
99,99,Ms.,Diana,Harris,Corporate,Widowed,Male,1986-02-10,2006-02-08,,SOUTH,Ms. Diana Harris
100,100,Ms.,Catherine,White,Consumer,Single,Male,1972-06-18,2000-07-30,,EAST,Ms. Catherine White
101,101,Mrs.,Samuel,Johnson,Corporate,Widowed,Male,1992-03-18,2011-08-22,,NORTH,Mrs. Samuel Johnson
102,102,Mr.,Ursula,Martin,Corporate,Widowed,Female,1992-03-02,2007-10-21,,SOUTH,Mr. Ursula Martin
103,103,Ms.,Brian,Garcia,Corporate,Widowed,Female,1986-12-06,2015-07-23,,EAST,Ms. Brian Garcia
104,104,Ms.,Olivia,Williams,Corporate,Single,Male,1972-08-23,2007-04-02,,EAST,Ms. Olivia Williams
105,105,Mrs.,Nathan,Johnson,SME,Widowed,Female,1996-07-06,2008-02-11,,SOUTH,Mrs. Nathan Johnson
106,106,Professor,Gwendolyn,Wilson,SME,Widowed,Female,1961-10-03,2006-06-17,,EAST,Professor Gwendolyn Wilson
107,107,Professor,Aaron,Dillon,Corporate,Married,Male,1971-06-21,2015-12-02,,EAST,Professor Aaron Dillon
108,108,Mr.,Charles,Davis,Corporate,Married,Female,1991-05-26,2002-08-20,,SOUTH,Mr. Charles Davis
109,109,Dr.,Nathan,Martin,Corporate,Married,Male,1971-11-13,2010-03-30,,NORTH,Dr. Nathan Martin
110,110,Ms.,Brian,Williams,Consumer,Divorced,Female,1987-03-24,2007-08-16,,WEST,Ms. Brian Williams
111,111,Professor,Allison,Kirby,SME,Widowed,Female,1993-12-05,2003-05-02,,NORTH,Professor Allison Kirby
112,112,Professor,Karen,Potter,Consumer,Divorced,Male,1983-11-04,2010-03-19,,NORTH,Professor Karen Potter
113,113,Mr.,Henry,White,Corporate,Widowed,Male,1978-07-19,2010-08-10,,SOUTH,Mr. Henry White
114,114,Professor,Bonnie,Jones,Consumer,Widowed,Female,1979-10-14,2002-04-02,,SOUTH,Professor Bonnie Jones
115,115,Dr.,Xander,Jones,Corporate,Widowed,Female,1963-11-07,2001-09-04,,EAST,Dr. Xander Jones
116,116,Ms.,Ursula,Williams,SME,Divorced,Female,1997-11-15,2008-07-10,,SOUTH,Ms. Ursula Williams
117,117,Mrs.,Tina,Williams,Corporate,Single,Male,1975-10-13,2005-02-06,,EAST,Mrs. Tina Williams
118,118,Ms.,Olivia,Garcia,Consumer,Divorced,Female,1952-08-06,2001-01-11,,EAST,Ms. Olivia Garcia
119,119,Mrs.,Liam,White,SME,Widowed,Male,1971-11-28,2011-11-30,,NORTH,Mrs. Liam White
120,120,Professor,Fiona,Williams,Corporate,Married,Male,1984-04-27,2013-11-24,,WEST,Professor Fiona Williams
121,121,Ms.,Olivia,Dillon,Corporate,Single,Female,1991-03-26,2005-09-22,,WEST,Ms. Olivia Dillon
122,122,Ms.,Charles,Harris,SME,Widowed,Female,1976-11-02,2014-05-01,,WEST,Ms. Charles Harris
123,123,Mrs.,Brian,Anderson,Consumer,Single,Female,1984-07-06,2010-11-02,,SOUTH,Mrs. Brian Anderson
124,124,Ms.,Samuel,Anderson,Corporate,Widowed,Male,1951-12-20,2014-10-06,,NORTH,Ms. Samuel Anderson
125,125,Ms.,Tina,Martin,Consumer,Divorced,Male,1970-08-24,2013-08-13,,EAST,Ms. Tina Martin
126,126,Mr.,Victor,Jones,Consumer,Widowed,Female,1953-07-15,2006-12-05,,NORTH,Mr. Victor Jones
127,127,Ms.,Charles,Anderson,Consumer,Married,Female,1987-04-12,2003-12-09,,WEST,Ms. Charles Anderson
128,128,Ms.,Allison,Garcia,Consumer,Divorced,Female,1993-03-25,2006-08-14,,NORTH,Ms. Allison Garcia
129,129,Dr.,Edward,Davis,Corporate,Single,Male,2000-01-01,2008-03-15,,EAST,Dr. Edward Davis
130,130,Dr.,Rachel,Brown,SME,Divorced,Female,1983-01-25,2015-02-02,,NORTH,Dr. Rachel Brown
131,131,Dr.,Diana,Davis,SME,Divorced,Male,1952-03-31,2013-11-23,,NORTH,Dr. Diana Davis
132,132,Ms.,Ursula,Harris,Consumer,Married,Male,1986-08-19,2002-08-13,,EAST,Ms. Ursula Harris
133,133,Mr.,Patrick,Brown,Corporate,Married,Female,1971-01-24,2012-01-21,,NORTH,Mr. Patrick Brown
134,134,Dr.,Victor,Potter,Corporate,Single,Female,1963-11-12,2009-04-21,,NORTH,Dr. Victor Potter
135,135,Mrs.,Bonnie,Thomas,Corporate,Married,Male,1989-10-11,2009-12-21,,NORTH,Mrs. Bonnie Thomas
136,136,Ms.,Rachel,Dillon,Consumer,Divorced,Male,1955-06-08,2008-12-05,,NORTH,Ms. Rachel Dillon
137,137,Professor,Charles,Miller,Consumer,Divorced,Male,1951-12-01,2001-02-18,,SOUTH,Professor Charles Miller
138,138,Mrs.,Charles,Potter,Consumer,Divorced,Male,1969-05-17,2005-03-23,,WEST,Mrs. Charles Potter
139,139,Mrs.,Brian,Jones,Consumer,Married,Male,1998-06-19,2005-08-15,,NORTH,Mrs. Brian Jones
140,140,Mrs.,Aaron,Thomas,Corporate,Married,Male,1979-01-18,2000-05-09,,WEST,Mrs. Aaron Thomas
141,141,Professor,Xander,White,Corporate,Widowed,Female,1960-03-13,2001-06-04,,WEST,Professor Xander White
142,142,Mrs.,Olivia,Thompson,Corporate,Divorced,Male,1953-11-21,2014-10-11,,EAST,Mrs. Olivia Thompson
143,143,Dr.,Patrick,Jackson,Consumer,Widowed,Male,1959-09-08,2010-12-30,,EAST,Dr. Patrick Jackson
144,144,Mr.,Tina,Jones,Corporate,Divorced,Female,1961-04-28,2006-03-02,,NORTH,Mr. Tina Jones
145,145,Dr.,Quinn,Tyson,SME,Single,Male,1958-11-24,2015-09-27,,SOUTH,Dr. Quinn Tyson
146,146,Dr.,Olivia,Davis,Corporate,Widowed,Male,1980-05-29,2010-03-04,,SOUTH,Dr. Olivia Davis
147,147,Ms.,Nathan,Taylor,Consumer,Widowed,Male,1983-08-01,2003-06-04,,NORTH,Ms. Nathan Taylor
148,148,Mr.,Charles,White,SME,Single,Female,1983-06-07,2002-12-01,,EAST,Mr. Charles White
149,149,Dr.,Nathan,Thomas,Corporate,Divorced,Male,1954-08-13,2006-06-14,,EAST,Dr. Nathan Thomas
150,150,Mrs.,Edward,Martin,Consumer,Divorced,Female,1959-09-17,2007-11-08,,WEST,Mrs. Edward Martin
151,151,Professor,Zachary,White,Consumer,Divorced,Male,1999-12-13,2000-08-03,,WEST,Professor Zachary White
152,152,Ms.,Wendy,Anderson,Consumer,Married,Female,1981-06-29,2000-02-20,,NORTH,Ms. Wendy Anderson
153,153,Mr.,Edward,Dillon,Corporate,Married,Female,1958-03-26,2011-11-24,,EAST,Mr. Edward Dillon
154,154,Ms.,Karen,Garcia,Consumer,Single,Male,1977-12-16,2007-04-11,,SOUTH,Ms. Karen Garcia
155,155,Mr.,Yvonne,Tyson,SME,Widowed,Female,1957-04-27,2006-02-07,,WEST,Mr. Yvonne Tyson
156,156,Dr.,Tina,Harris,Corporate,Single,Female,1974-07-05,2004-10-31,,SOUTH,Dr. Tina Harris
157,157,Dr.,James,Kirby,Consumer,Divorced,Male,1997-04-10,2014-12-18,,EAST,Dr. James Kirby
158,158,Mr.,Tina,Johnson,Consumer,Married,Female,1968-05-04,2006-10-05,,SOUTH,Mr. Tina Johnson
159,159,Mr.,Karen,Brown,Consumer,Married,Female,1994-08-16,2009-08-28,,NORTH,Mr. Karen Brown
160,160,Ms.,Quinn,Potter,Corporate,Single,Male,1956-06-19,2008-11-26,,WEST,Ms. Quinn Potter
161,161,Professor,Charles,Taylor,SME,Widowed,Female,1988-07-06,2012-11-10,,SOUTH,Professor Charles Taylor
162,162,Mr.,Diana,Jackson,SME,Widowed,Female,1979-02-20,2003-11-08,,NORTH,Mr. Diana Jackson
163,163,Mrs.,Nathan,Brown,SME,Widowed,Male,1989-02-01,2013-03-17,,EAST,Mrs. Nathan Brown
164,164,Ms.,Brian,Anderson,Consumer,Married,Male,1969-11-17,2007-06-21,,SOUTH,Ms. Brian Anderson
165,165,Ms.,Catherine,Thomas,Consumer,Single,Female,1963-04-02,2005-04-19,,WEST,Ms. Catherine Thomas
166,166,Mrs.,Fiona,Tyson,Corporate,Widowed,Female,1956-10-05,2003-12-22,,WEST,Mrs. Fiona Tyson
167,167,Ms.,Brian,Dillon,Corporate,Single,Female,1963-07-18,2009-11-11,,NORTH,Ms. Brian Dillon
168,168,Professor,Zachary,Wilson,Corporate,Single,Female,1955-01-15,2007-11-23,,NORTH,Professor Zachary Wilson
169,169,Ms.,Bonnie,Johnson,SME,Single,Female,1975-10-03,2001-09-20,,SOUTH,Ms. Bonnie Johnson
170,170,Mr.,Samuel,Potter,Corporate,Married,Female,1990-05-07,2012-10-27,,SOUTH,Mr. Samuel Potter
171,171,Mr.,Bonnie,Harris,Consumer,Married,Male,1980-10-23,2001-11-21,,WEST,Mr. Bonnie Harris
172,172,Professor,Olivia,Thompson,Corporate,Divorced,Female,1964-03-29,2008-02-29,,SOUTH,Professor Olivia Thompson
173,173,Professor,Yvonne,Taylor,Consumer,Divorced,Female,1954-09-12,2014-02-24,,SOUTH,Professor Yvonne Taylor
174,174,Ms.,Rachel,Jackson,Corporate,Married,Male,1972-08-10,2014-09-22,,EAST,Ms. Rachel Jackson
175,175,Dr.,Liam,Anderson,Corporate,Single,Female,1961-07-27,2013-05-06,,WEST,Dr. Liam Anderson
176,176,Professor,Allison,Jones,SME,Widowed,Female,1958-05-21,2014-06-28,,NORTH,Professor Allison Jones
177,177,Mrs.,Liam,Anderson,Consumer,Widowed,Male,1969-03-20,2007-08-31,,EAST,Mrs. Liam Anderson
178,178,Ms.,Edward,Williams,SME,Single,Female,1959-01-28,2011-05-21,,WEST,Ms. Edward Williams
179,179,Mrs.,Tina,Jackson,SME,Married,Female,1964-07-22,2004-01-21,,WEST,Mrs. Tina Jackson
180,180,Mrs.,Nathan,Thomas,SME,Divorced,Female,1989-11-07,2013-09-10,,EAST,Mrs. Nathan Thomas
181,181,Ms.,Rachel,Davis,SME,Divorced,Female,1992-01-29,2004-05-08,,WEST,Ms. Rachel Davis
182,182,Dr.,Yvonne,Anderson,Consumer,Widowed,Male,1995-02-13,2011-10-30,,SOUTH,Dr. Yvonne Anderson
183,183,Mr.,Brian,Wilson,SME,Single,Male,1993-02-11,2008-04-28,,WEST,Mr. Brian Wilson
184,184,Ms.,Charles,Garcia,Corporate,Married,Male,1990-04-24,2011-07-07,,NORTH,Ms. Charles Garcia
185,185,Ms.,Allison,Harris,Corporate,Single,Female,1952-05-23,2009-04-21,,WEST,Ms. Allison Harris
186,186,Ms.,Megan,Williams,Consumer,Divorced,Female,1970-02-22,2000-08-18,,WEST,Ms. Megan Williams
187,187,Ms.,Edward,Johnson,SME,Married,Female,1992-05-21,2015-08-12,,WEST,Ms. Edward Johnson
188,188,Mr.,Tina,Smith,Consumer,Married,Female,1951-09-15,2005-09-27,,SOUTH,Mr. Tina Smith
189,189,Mrs.,Yvonne,Anderson,Consumer,Single,Female,1977-01-07,2002-09-25,,EAST,Mrs. Yvonne Anderson
190,190,Dr.,Charles,Brown,SME,Married,Male,1998-02-03,2000-05-14,,SOUTH,Dr. Charles Brown
191,191,Professor,Nathan,Smith,Consumer,Widowed,Male,1981-08-27,2005-05-24,,NORTH,Professor Nathan Smith
192,192,Professor,Charles,Thompson,Corporate,Single,Female,1995-07-08,2011-05-21,,NORTH,Professor Charles Thompson
193,193,Ms.,Ursula,Jackson,Consumer,Divorced,Female,1972-10-03,2000-05-13,,EAST,Ms. Ursula Jackson
194,194,Mr.,Xander,Dillon,Corporate,Single,Female,1979-10-31,2002-12-28,,WEST,Mr. Xander Dillon
195,195,Dr.,Allison,Harris,SME,Single,Female,1966-05-09,2003-01-09,,WEST,Dr. Allison Harris
196,196,Mr.,James,Miller,Corporate,Divorced,Female,1967-11-24,2000-12-09,,EAST,Mr. James Miller
197,197,Mrs.,Irene,Johnson,SME,Single,Female,1975-09-02,2008-01-03,,SOUTH,Mrs. Irene Johnson
198,198,Dr.,Diana,Thomas,Corporate,Widowed,Male,1985-11-20,2009-11-11,,NORTH,Dr. Diana Thomas
199,199,Ms.,Wendy,Martin,SME,Single,Female,1996-08-02,2005-12-24,,SOUTH,Ms. Wendy Martin
200,200,Mrs.,Nathan,Tyson,Consumer,Divorced,Male,1998-12-09,2006-08-03,,EAST,Mrs. Nathan Tyson
201,201,Ms.,Victor,Anderson,Consumer,Widowed,Female,1990-01-02,2013-07-07,,NORTH,Ms. Victor Anderson
202,202,Ms.,Olivia,Johnson,Consumer,Single,Female,1989-01-08,2006-02-27,,NORTH,Ms. Olivia Johnson
203,203,Mr.,Quinn,Garcia,Consumer,Widowed,Male,1962-10-23,2013-08-17,,NORTH,Mr. Quinn Garcia
204,204,Ms.,Henry,Dillon,SME,Single,Male,1982-06-28,2008-08-02,,EAST,Ms. Henry Dillon
205,205,Dr.,Liam,Thomas,SME,Married,Female,1956-11-24,2012-11-14,,SOUTH,Dr. Liam Thomas
206,206,Ms.,Karen,Dillon,SME,Single,Male,1972-05-24,2002-07-18,,SOUTH,Ms. Karen Dillon
207,207,Professor,Quinn,Jackson,SME,Divorced,Female,1960-07-25,2005-11-14,,SOUTH,Professor Quinn Jackson
208,208,Dr.,Tina,Anderson,Consumer,Married,Female,1967-12-17,2002-10-01,,WEST,Dr. Tina Anderson
209,209,Mr.,Catherine,Harris,SME,Divorced,Male,1978-09-03,2014-12-23,,WEST,Mr. Catherine Harris
210,210,Mrs.,Catherine,Anderson,Consumer,Married,Male,1965-08-14,2008-02-09,,NORTH,Mrs. Catherine Anderson
211,211,Mr.,Henry,Martin,Corporate,Divorced,Male,1982-05-18,2012-06-04,,WEST,Mr. Henry Martin
212,212,Dr.,Charles,Anderson,Corporate,Widowed,Male,1992-12-10,2011-10-16,,EAST,Dr. Charles Anderson
213,213,Mr.,Karen,Dillon,Consumer,Divorced,Male,1990-05-15,2010-06-13,,WEST,Mr. Karen Dillon
214,214,Mr.,Nathan,Thompson,Corporate,Married,Male,1961-02-20,2011-08-15,,WEST,Mr. Nathan Thompson
215,215,Ms.,Karen,Davis,Corporate,Single,Male,1996-07-21,2006-05-15,,WEST,Ms. Karen Davis
216,216,Ms.,Edward,Dillon,SME,Married,Male,1997-11-11,2002-02-04,,NORTH,Ms. Edward Dillon
217,217,Professor,Victor,Tyson,Consumer,Single,Male,1980-04-16,2012-08-22,,WEST,Professor Victor Tyson
